,date,count, value
264,2009-07-06,1344,8324.87
265,2009-11-10,1296,10246.97
266,2010-07-08,2465,10138.99
267,2010-11-12,1643,11192.58
268,2013-01-07,1508,13384.29
269,2014-11-05,1270,17484.53
270,2016-06-09,1687,17985.19
271,2008-08-01,1609,11326.32
272,2008-10-08,1425,9258.1
273,2009-07-07,1634,8163.6
274,2009-11-11,1391,10291.26
275,2010-07-09,2190,10198.03
276,2013-01-08,1537,13328.85
277,2014-11-06,3715,17554.47
278,2008-10-09,2058,8579.19
279,2009-07-08,1680,8178.41
280,2009-11-12,1458,10197.47
281,2010-06-01,1550,10024.02
282,2013-01-09,1642,13390.51
283,2014-11-07,1521,17573.93
284,2016-05-02,2462,17891.16
285,2009-07-09,1404,8183.17
286,2010-06-02,1287,10249.54
287,2016-05-03,2970,17750.91
288,2008-08-04,1443,11284.15
289,2009-06-01,1289,8721.44
290,2010-06-03,1506,10255.28
291,2014-09-02,1137,17067.56
292,2016-05-04,1893,17651.26
293,2016-08-10,1755,18495.66
294,2008-08-05,1578,11615.77
295,2009-06-02,1739,8740.87
296,2010-06-04,1416,9931.97
297,2010-09-10,6087,10462.77
298,2014-09-03,1148,17078.28
299,2014-10-01,2678,16804.71
300,2016-05-05,1838,17660.71
301,2016-08-11,1456,18613.52
302,2008-08-06,2366,11656.07
303,2008-12-10,2306,8761.42
304,2009-06-03,2774,8675.24
305,2014-09-04,1418,17069.58
306,2014-10-02,1322,16801.05
307,2016-05-06,2378,17740.63
308,2016-08-12,1441,18576.47
309,2008-08-07,1601,11431.43
310,2008-12-11,4006,8565.09
311,2009-06-04,1618,8750.24
312,2009-09-10,1884,9627.48
313,2013-03-11,2092,14447.29
314,2014-09-05,1772,17137.36
315,2014-10-03,1691,17009.69
316,2008-08-08,2066,11734.32
317,2008-12-12,2193,8629.68
318,2009-06-05,3464,8763.13
319,2009-09-11,3271,9605.41
320,2010-06-07,1411,9816.49
321,2010-10-11,3110,11010.34
322,2013-03-12,3362,14450.06
323,2010-06-08,1660,9939.98
324,2010-10-12,2263,11020.4
325,2016-05-09,1354,17705.91
326,2008-07-01,1462,11382.26
327,2010-06-09,2547,9899.25
328,2014-09-08,1515,17111.42
329,2014-10-06,1478,16991.91
330,2016-04-01,1421,17792.75
331,2008-07-02,1507,11215.51
332,2009-06-08,1637,8764.49
333,2009-10-12,1385,9885.8
334,2014-09-09,1855,17013.87
335,2014-10-07,1639,16719.39
336,2008-07-03,1896,11288.54
337,2009-06-09,3444,8763.06
338,2014-08-01,1276,16493.37
339,2014-10-08,2106,16994.22
340,2009-05-01,4570,8212.41
341,2010-05-03,2682,11151.83
342,2014-10-09,1445,16659.25
343,2016-04-04,2492,17737.0
344,2010-05-04,1285,10926.77
345,2010-08-10,4786,10644.25
346,2016-04-05,1409,17603.32
347,2016-07-11,1203,18226.93
348,2008-11-10,1500,8870.54
349,2010-05-05,1592,10866.83
350,2010-08-11,3482,10378.83
351,2014-08-04,1465,16569.28
352,2016-04-06,1418,17716.05
353,2016-07-12,1288,18347.67
354,2008-07-07,2084,11231.96
355,2008-11-11,1356,8693.96
356,2009-05-04,4455,8426.74
357,2009-08-10,1763,9337.95
358,2010-05-06,1558,10520.32
359,2010-08-12,3886,10319.95
360,2013-02-11,3685,13971.24
361,2014-08-05,1330,16429.47
362,2016-04-07,1855,17541.96
363,2008-07-08,1665,11384.21
364,2008-11-12,1515,8282.66
365,2009-05-05,4226,8410.65
366,2009-08-11,1270,9241.45
367,2010-05-07,1338,10380.43
368,2013-02-12,1302,14018.7
369,2014-08-06,1296,16443.34
370,2014-12-10,2610,17533.15
371,2016-04-08,1416,17576.96
372,2008-07-09,1483,11147.44
373,2009-05-06,2908,8512.28
374,2009-08-12,2028,9361.61
375,2014-08-07,1437,16368.27
376,2014-12-11,1540,17596.34
377,2009-05-07,3246,8409.85
378,2014-08-08,1546,16553.93
379,2014-12-12,1482,17280.83
380,2016-03-01,1221,16865.08
381,2008-06-02,1551,12503.82
382,2009-05-08,1563,8574.65
383,2010-04-01,1229,10927.07
384,2016-03-02,1351,16899.32
385,2008-06-03,1523,12402.85
386,2014-07-01,1063,16956.07
387,2016-03-03,1314,16943.9
388,2008-06-04,3285,12390.48
389,2008-09-10,1505,11268.92
390,2009-04-01,2156,7761.6
391,2014-07-02,2280,16976.24
392,2016-03-04,2329,17006.77
393,2016-06-10,1692,17865.34
394,2008-06-05,1819,12604.45
395,2008-09-11,1291,11433.71
396,2009-04-02,2017,7978.08
397,2014-07-03,2983,17068.26
398,2008-06-06,2220,12209.81
399,2008-09-12,2867,11421.99
400,2008-10-10,1811,8451.19
401,2009-04-03,3011,8017.59
402,2010-04-05,1459,10973.55
403,2013-01-10,1659,13471.22
404,2009-07-10,1437,8146.52
405,2010-04-06,1721,10969.99
406,2010-07-12,1343,10216.27
407,2013-01-11,2697,13488.43
408,2016-03-07,1361,17073.95
409,2010-04-07,1369,10897.52
410,2014-11-10,1332,17613.74
411,2016-03-08,1360,16964.1
412,2008-06-09,1333,12280.32
413,2009-04-06,2562,7975.85
414,2010-04-08,1396,10927.07
415,2012-12-03,1449,12965.6
416,2014-07-07,1435,17024.21
417,2014-11-11,2200,17614.9
418,2016-03-09,1403,17000.36
419,2008-05-01,1571,13010.0
420,2009-04-07,1550,7789.56
421,2010-04-09,1983,10997.35
422,2012-12-04,1839,12951.78
423,2014-07-08,1680,16906.62
424,2014-11-12,2368,17612.2
425,2016-02-01,1248,16449.18
426,2008-05-02,2203,13058.2
427,2009-04-08,1700,7837.11
428,2010-03-01,1073,10403.79
429,2012-12-05,1621,13034.49
430,2014-07-09,1637,16985.61
431,2016-02-02,1341,16153.54
432,2009-04-09,1640,8083.38
433,2010-03-02,1570,10405.98
434,2012-12-06,1411,13074.04
435,2016-02-03,2544,16336.66
436,2010-03-03,2068,10396.76
437,2012-12-07,3403,13155.13
438,2014-06-02,1255,16743.63
439,2016-02-04,1660,16416.58
440,2016-05-10,1297,17928.35
441,2008-05-05,1387,12969.54
442,2008-08-11,2385,11782.35
443,2009-03-02,2382,6763.29
444,2010-03-04,1347,10444.14
445,2010-06-10,2990,10172.53
446,2014-06-03,1860,16722.34
447,2016-02-05,2218,16204.97
448,2016-05-11,1336,17711.12
449,2008-05-06,1541,13020.83
450,2008-08-12,1230,11642.47
451,2009-03-03,1138,6726.02
452,2010-03-05,1367,10566.2
453,2010-06-11,1426,10211.07
454,2014-06-04,1500,16737.53
455,2014-09-10,1831,17068.71
456,2016-05-12,1015,17720.5
457,2008-05-07,1500,12814.35
458,2009-03-04,1488,6875.84
459,2009-06-10,2760,8739.02
